,IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree,prestige
108,2034,1,Male,Other,21,Never married,Big-city suburb,Middle atlantic,1,No,No,Junior college,Business,NA,468+,Public,NA,40,Working fulltime,0,Private,Real estate,67,NA
1098,2044,2,Female,White,47,Divorced,0,Pacific,1,NA,NA,Bachelor,Business,40-57.9%,468+,Public,8000,13,Working parttime,0,Private,Beverage manufacturing,34,24
1767,2416,1,Male,White,20,Never married,250000,W. sou. central,1,No,No,Bachelor,Natural Resources & Environment,58%+,468+,Public,25000,35,Working fulltime,0,Private,Landscaping services,33,NA
3146,639,2,Male,White,15,Divorced,NA,E. sou. central,1,NA,NA,Junior college,Pre-Health & Medicine,NA,NA,none,25000,1,"Unempl, laid off",0,Government,U.s. air force,59,17
1678,2366,2,Female,White,56,Never married,NA,Pacific,1,NA,NA,Bachelor,Social Sciences,58%+,468+,Public,NA,1,Retired,0,Government,Administration of human resource programs,41,24
2060,37,1,Female,White,44,Never married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Social Sciences,58%+,468+,Private,NA,84,Keeping house,0,Private,"Museums, art galleries, historical sites, and similar institutions",39,NA
2432,243,1,Female,White,18,Never married,NA,Middle atlantic,1,No,No,Bachelor,Social Sciences,40-57.9%,468+,Public,NA,18,Working parttime,0,Private,"Independent artists, performing arts, spectator sports, and related industries",42,NA
4120,1282,2,Female,White,10,Never married,50000,Pacific,1,NA,NA,Bachelor,Social Sciences,40-57.9%,468+,Public,3000,1,"Unempl, laid off",0,Government,Printing and related support activities,34,NA
322,680,1,Female,Other,12,Married,250000,Foreign,0,NA,NA,Bachelor,Design,NA,NA,none,NA,84,Keeping house,0,Private,Construction,86,NA
1440,2235,2,Female,Black,12,Never married,50000,South atlantic,1,No,No,Bachelor,Design,58%+,468+,Public,25000,17,Working fulltime,0,Private,"Architectural, engineering, and related services",53,64
2078,46,1,Male,White,53,Never married,NA,E. nor. central,1,NA,NA,Graduate,Design,NA,468+,Public,NA,1,Retired,0,Government,"Colleges and universities, including junior colleges",88,NA
2917,512,2,Male,White,11,Never married,NA,Middle atlantic,1,No,No,Junior college,Design,NA,468+,Public,25000,8,Working parttime,0,Private,"Architectural, engineering, and related services",69,53
456,1424,1,Female,White,72,Widowed,250000,E. nor. central,1,NA,NA,Graduate,Arts,NA,468+,Public,NA,1,Retired,0,Private,Iron and steel mills and steel product manufacturing ,48,NA
559,1746,1,Female,White,24,Married,250000,Foreign,0,No,No,Bachelor,Arts,NA,NA,none,25000,57,Working fulltime,0,Private,Traveler accommodation,68,NA
756,1854,1,Female,White,44,Married,Big-city suburb,Foreign,0,No,No,Bachelor,Arts,NA,NA,none,1000,45,Working parttime,1,Private,Specialized design services,72,NA
1008,1995,2,Male,White,37,Married,0,New england,1,No,No,Bachelor,Arts,58%+,468+,Private,25000,46,Working fulltime,1,Private,Motion pictures and video industries,83,31
1012,1997,2,Male,White,49,Divorced,50000,South atlantic,1,No,No,Bachelor,Arts,58%+,468+,Private,25000,46,Working fulltime,1,Private,Furniture and related product manufacturing,17,40
1284,2148,2,Female,White,25,Married,50000,Middle atlantic,1,No,No,Bachelor,Arts,58%+,468+,Public,0,19,Working parttime,0,Private, restaurants and other food services,34,48
81,1890,1,Female,Other,12,Married,250000,Foreign,0,No,Yes,Graduate,Biological Sciences,58%+,468+,Public,25000,35,Working fulltime,0,Private,Motion pictures and video industries,66,NA
148,2256,2,Male,White,10,Married,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Biological Sciences,58%+,468+,Public,NA,36,Working fulltime,0,Private,Veterinary services,55,34
168,2367,1,Female,Other,32,Divorced,50000,Foreign,0,No,No,Graduate,Biological Sciences,58%+,468+,Private,25000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",88,NA
298,546,2,Female,Black,20,Never married,50000,Middle atlantic,1,No,No,Bachelor,Biological Sciences,0-39.9%,468+,Public,25000,30,Working fulltime,0,Private,Wired telecommunications carriers,49,38
300,558,2,Male,Other,38,Divorced,0,Foreign,0,No,No,Graduate,Biological Sciences,0-39.9%,468+,Public,NA,35,Working fulltime,0,Private,"Justice, public order, and safety activities",72,21
584,1759,1,Female,Black,26,Married,Big-city suburb,Foreign,0,NA,NA,Graduate,Biological Sciences,58%+,468+,Public,25000,84,Keeping house,0,Government,"Colleges and universities, including junior colleges",88,NA
815,1888,1,Female,White,15,Married,0,South atlantic,1,No,No,Bachelor,Biological Sciences,40-57.9%,468+,Private,25000,46,Working fulltime,0,Private,Legal services,71,NA
988,1983,2,Female,White,37,Married,250000,Middle atlantic,1,NA,NA,Graduate,Biological Sciences,58%+,468+,Private,NA,1,Retired,0,Private,Legal services,88,32
1160,2079,2,Female,Other,16,Married,50000,E. nor. central,0,No,No,Bachelor,Biological Sciences,40-57.9%,468+,Public,NA,17,Working parttime,0,Private,Offices of dentists,85,36
1170,2084,1,Male,Other,25,Married,250000,Foreign,0,Yes,Yes,Graduate,Biological Sciences,40-57.9%,468+,Private,25000,73,Working fulltime,0,Private,Computer systems design and related services,81,NA
1344,2181,2,Female,White,19,Never married,Big-city suburb,W. sou. central,1,NA,NA,Bachelor,Biological Sciences,58%+,468+,Public,NA,46,Working fulltime,0,Private,Other health care services,3,37
1429,2229,2,Male,Other,33,Married,Big-city suburb,Foreign,0,No,No,Bachelor,Biological Sciences,NA,NA,none,8000,18,Working parttime,0,Private,Grocery stores,25,21
3028,574,1,Male,White,34,Divorced,50000,W. sou. central,1,No,No,Bachelor,Biological Sciences,40-57.9%,468+,Public,25000,35,Working fulltime,0,Government,Administration of environmental quality and housing programs,3,NA
3339,749,2,Male,White,26,Married,50000,South atlantic,1,NA,NA,Bachelor,Biological Sciences,58%+,468+,Public,NA,57,Working fulltime,1,Private,Landscaping services,33,36
4139,1303,2,Male,White,23,Widowed,50000,Pacific,1,No,No,Bachelor,Biological Sciences,58%+,468+,Public,25000,57,Working fulltime,0,Private,Real estate,67,43
4239,1414,2,Female,White,16,Married,Big-city suburb,W. sou. central,1,NA,NA,Bachelor,Biological Sciences,0-39.9%,468+,Public,NA,84,School,0,Private,Other health care services,73,69
4384,1575,2,Male,White,41,Married,0,E. nor. central,1,NA,NA,Bachelor,Biological Sciences,58%+,468+,Public,25000,35,Working fulltime,0,Government,Administration of environmental quality and housing programs,66,NA
4501,1705,2,Male,White,65,Widowed,0,New england,1,NA,NA,Graduate,Biological Sciences,58%+,468+,Public,NA,1,Retired,0,Government,"Forestry, except logging",3,NA
16,2322,2,Male,White,17,Married,Big-city suburb,Pacific,1,NA,NA,Graduate,Business,40-57.9%,468+,Private,25000,35,Working fulltime,0,Private,Banking and related activities,72,64
62,1779,1,Male,White,61,Never married,250000,Middle atlantic,1,NA,NA,Bachelor,Business,NA,NA,none,NA,1,Retired,0,Government,Administration of economic programs and space research,83,NA
99,1990,1,Male,White,46,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Graduate,Business,40-57.9%,468+,Private,NA,1,Retired,0,Private,Insurance carriers and related activities,1,NA
105,2023,2,Male,Other,12,Married,Big-city suburb,Middle atlantic,0,No,No,Junior college,Business,NA,NA,none,25000,57,Working fulltime,0,Private,Employment services,49,0
156,2300,2,Female,White,41,Divorced,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Public,25000,61,Working fulltime,0,Private,"Independent artists, performing arts, spectator sports, and related industries",85,21
185,2467,2,Female,Black,10,Married,250000,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Private,25000,84,Other,0,Private,"Management, scientific, and technical consulting services",80,35
219,114,2,Male,White,28,Married,250000,Middle atlantic,1,No,No,Bachelor,Business,58%+,468+,Private,NA,35,Working fulltime,0,Private,Insurance carriers and related activities,54,49
337,768,1,Male,Other,7,Never married,Big-city suburb,Pacific,1,No,No,Bachelor,Business,58%+,468+,Private,NA,13,Working fulltime,1,Private,Non-depository credit and related activities,67,NA
426,1258,1,Male,Black,13,Never married,Big-city suburb,Pacific,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,"Electronic component and product manufacturing, n.e.c.",62,NA
516,1721,2,Female,White,38,Divorced,0,Pacific,1,NA,NA,Graduate,Business,58%+,468+,Private,NA,1,Retired,0,Private,Wired telecommunications carriers,80,37
548,1739,1,Male,White,42,Married,250000,E. nor. central,1,NA,NA,Junior college,Business,NA,468+,Private,NA,84,Other,0,Private,Not specified manufacturing industries,80,NA
570,1751,1,Male,White,35,Never married,250000,South atlantic,1,No,No,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Museums, art galleries, historical sites, and similar institutions",82,NA
608,1773,1,Male,White,22,Married,Big-city suburb,South atlantic,1,No,No,Bachelor,Business,58%+,468+,Private,25000,39,Working fulltime,0,Private,Advertising and related services,81,NA
620,1780,1,Female,Black,36,Divorced,50000,W. sou. central,1,No,No,Bachelor,Business,NA,468+,Private,25000,35,Working fulltime,0,Government,U.s. armed forces/n.s.,76,NA
626,1783,1,Male,White,46,Married,NA,Middle atlantic,1,No,No,Graduate,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Colleges and universities, including junior colleges",88,NA
686,1816,2,Male,White,33,Married,0,W. sou. central,1,No,No,Bachelor,Business,58%+,468+,Public,10000,57,Working fulltime,0,Private,"Paint, coating, and adhesive manufacturing",63,25
691,1819,1,Male,White,44,Married,0,New england,1,Yes,No,Junior college,Business,NA,468+,Public,25000,24,Working parttime,0,Private,Other health care services,64,NA
718,1833,1,Male,White,18,Married,250000,New england,1,No,No,Bachelor,Business,58%+,468+,Private,25000,57,Working fulltime,0,Private,"Architectural, engineering, and related services",80,NA
830,1896,2,Female,Black,21,Divorced,50000,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,Insurance carriers and related activities,65,38
834,1898,2,Female,Black,20,Married,50000,South atlantic,1,No,No,Bachelor,Business,40-57.9%,468+,Public,20000,7,Working parttime,1,Private,Computer systems design and related services,80,38
841,1903,2,Male,White,53,Married,0,E. nor. central,1,NA,NA,Bachelor,Business,58%+,468+,Public,5000,7,Working parttime,1,Private,Construction,11,46
843,1904,2,Male,Other,27,Never married,50000,Middle atlantic,1,NA,NA,Bachelor,Business,0-39.9%,468+,Private,1000,35,Working fulltime,0,Private,Business support services,39,48
870,1918,1,Male,White,26,Married,250000,Foreign,0,No,No,Graduate,Business,NA,NA,none,25000,46,Working fulltime,0,Private,NA,81,NA
872,1919,2,Male,White,39,Married,0,South atlantic,1,No,No,Graduate,Business,0-39.9%,468+,Private,25000,57,Working fulltime,0,Government,"Colleges and universities, including junior colleges",81,60
874,1920,1,Male,White,41,Divorced,250000,E. nor. central,0,No,No,Graduate,Business,58%+,468+,Private,25000,51,Working fulltime,0,Private,Construction,84,NA
898,1933,2,Female,White,43,Married,50000,South atlantic,1,No,No,Graduate,Business,58%+,468+,Private,25000,35,Working fulltime,0,Private,Wired telecommunications carriers,75,35
916,1943,2,Female,White,27,Married,0,New england,1,NA,NA,Bachelor,Business,58%+,468+,Private,25000,51,Working fulltime,0,Private,"Management, scientific, and technical consulting services",75,47
926,1949,1,Male,White,19,Married,0,Middle atlantic,1,No,No,Graduate,Business,58%+,468+,Public,25000,36,Working fulltime,0,Private,U.s. armed forces/n.s.,76,NA
974,1975,2,Male,White,42,Divorced,50000,New england,1,NA,NA,Bachelor,Business,58%+,468+,Private,25000,46,Working fulltime,0,Private,"Savings institutions, including credit unions",75,24
1007,1995,1,Female,White,23,Married,250000,W. sou. central,0,No,No,Junior college,Business,40-57.9%,468+,Private,25000,35,Working fulltime,0,Private,Construction,48,NA
1061,2025,1,Male,Other,14,Never married,250000,South atlantic,1,No,Yes,Bachelor,Business,58%+,468+,Public,25000,66,Working fulltime,1,Government,"Wholesale electronic markets, agents and brokers",55,NA
1071,2030,1,Female,White,23,Separated,50000,South atlantic,1,No,No,Junior college,Business,NA,468+,Public,25000,57,Working fulltime,0,Private,Business support services,63,NA
1088,2039,2,Female,White,13,Married,Big-city suburb,Pacific,1,No,No,Bachelor,Business,40-57.9%,468+,Private,25000,35,Working fulltime,0,Government,Administration of human resource programs,55,50
1106,2049,1,Female,White,25,Divorced,0,E. nor. central,1,No,No,Junior college,Business,NA,468+,Public,5000,40,Working fulltime,0,Private,"Electric power generation, transmission, and distribution",75,NA
1122,2058,2,Male,White,28,Married,250000,Pacific,0,NA,NA,Junior college,Business,NA,468+,Public,25000,35,Working fulltime,0,Private,"Radio, tv, and computer stores",81,25
1148,2072,1,Male,White,17,Married,Big-city suburb,South atlantic,1,No,No,Bachelor,Business,58%+,468+,Public,25000,46,Working fulltime,0,Private,Computer systems design and related services,75,NA
1272,2141,1,Female,White,15,Married,0,Pacific,1,No,No,Junior college,Business,NA,468+,Public,25000,37,Working fulltime,0,Private,Offices of physicians,66,NA
1317,2166,1,Male,White,37,Divorced,NA,E. nor. central,1,No,No,Graduate,Business,NA,NA,none,25000,35,Working fulltime,0,Private,Department stores and discount stores,46,NA
1432,2230,2,Male,Other,59,Never married,Big-city suburb,Foreign,0,NA,NA,Graduate,Business,58%+,468+,Private,NA,1,Retired,0,Private,"Electric power generation, transmission, and distribution",85,48
1451,2241,2,Female,White,34,Never married,50000,South atlantic,1,No,No,Junior college,Business,0-39.9%,468+,Public,NA,46,Working fulltime,0,Private,Banking and related activities,74,35
1458,2244,2,Female,Black,36,Divorced,250000,South atlantic,1,No,No,Bachelor,Business,58%+,468+,Private,25000,35,Working fulltime,0,Government,Elementary and secondary schools,46,36
1547,2294,2,Female,White,31,Married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Business,40-57.9%,468+,Private,NA,84,Keeping house,0,Private,Private households,35,31
1552,2296,1,Male,White,33,Married,250000,Foreign,0,No,No,Bachelor,Business,NA,NA,none,25000,37,Working fulltime,0,Private,Radio and television broadcasting and cable subscription programming,85,NA
1588,2316,1,Female,Other,19,Married,250000,Pacific,0,NA,NA,Bachelor,Business,40-57.9%,468+,Public,15000,84,Keeping house,0,Private,"Electronic component and product manufacturing, n.e.c.",46,NA
1670,2362,2,Male,White,74,Married,Big-city suburb,Pacific,1,Yes,No,Graduate,Business,NA,NA,none,NA,40,Working fulltime,0,Private,Banking and related activities,83,48
1748,2405,2,Male,White,25,Divorced,NA,Mountain,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,43,Working fulltime,0,Private,Gasoline stations,45,31
1836,2454,2,Male,Black,21,Divorced,0,E. nor. central,1,No,No,Junior college,Business,NA,468+,Public,15000,40,Working fulltime,1,Private,"Independent artists, performing arts, spectator sports, and related industries",69,37
1903,2492,2,Female,White,50,Married,0,Mountain,1,NA,NA,Bachelor,Business,58%+,468+,Private,NA,1,Retired,0,Private,Commercial and service industry machinery manufacturing,48,43
1922,2502,1,Male,White,21,Never married,0,E. nor. central,1,No,No,Bachelor,Business,58%+,468+,Public,25000,29,Working fulltime,0,Private,"Management, scientific, and technical consulting services",66,NA
1928,2505,1,Male,White,41,Married,250000,E. nor. central,1,No,No,Graduate,Business,58%+,468+,Private,25000,46,Working fulltime,0,Private,"Electric and gas, and other combinations",66,NA
1950,2517,2,Male,White,67,Married,50000,Foreign,0,NA,NA,Graduate,Business,NA,NA,none,NA,1,Retired,0,Private,Nonmetallic mineral mining and quarrying,83,49
1974,2530,1,Male,White,18,Never married,0,E. sou. central,0,No,No,Graduate,Business,NA,NA,none,25000,40,Working fulltime,0,Private,NA,83,NA
2096,56,2,Male,White,50,Married,0,New england,1,NA,NA,Graduate,Business,58%+,468+,Private,NA,1,Retired,0,Government,"Water, steam, air-conditioning, and irrigation systems",75,49
2125,73,1,Male,White,47,Never married,NA,Middle atlantic,1,NA,NA,Graduate,Business,40-57.9%,468+,Public,NA,1,Retired,0,Private,Scientific research and development services,54,NA
2226,129,1,Male,White,13,Married,0,E. sou. central,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,43,Working fulltime,0,Private,Construction,80,NA
2240,137,2,Female,Other,15,Never married,50000,Pacific,1,No,No,Bachelor,Business,NA,NA,none,5000,39,Working fulltime,0,Private,Radio and television broadcasting and cable subscription programming,81,50
2256,145,1,Female,White,36,Divorced,Big-city suburb,South atlantic,1,No,Yes,Bachelor,Business,58%+,468+,Public,25000,61,Working fulltime,0,Private,"Machinery manufacturing, n.e.c.    ",75,NA
2257,146,1,Female,White,55,Widowed,NA,South atlantic,1,NA,NA,Junior college,Business,NA,468+,Public,NA,84,Keeping house,0,Private,"Fabric mills, except knitting mills",8,NA
2268,152,2,Female,White,16,Never married,Big-city suburb,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Public,25000,35,Working fulltime,0,Private,"Paint, coating, and adhesive manufacturing",66,0
2272,154,1,Female,Black,52,Married,NA,South atlantic,1,NA,NA,Junior college,Business,NA,NA,none,NA,1,Retired,0,Private,Hospitals,28,NA
2286,162,2,Male,Black,34,Never married,Big-city suburb,Middle atlantic,1,No,No,Bachelor,Business,0-39.9%,468+,Private,10000,24,Working parttime,0,Private,Clothing stores,46,64
2316,178,2,Male,Black,39,Married,250000,Middle atlantic,1,NA,NA,Bachelor,Business,40-57.9%,468+,Private,25000,35,Working fulltime,1,Private,Real estate,67,39
2317,179,1,Female,Black,10,Never married,250000,Middle atlantic,1,No,No,Junior college,Business,NA,468+,Public,10000,7,Working parttime,0,Private,Home health care services,58,NA
2332,187,2,Male,White,59,Married,50000,Middle atlantic,1,NA,NA,Bachelor,Business,40-57.9%,468+,Public,NA,1,Retired,0,Private,Insurance carriers and related activities,75,33
2338,190,1,Male,White,45,Married,NA,E. nor. central,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,Employment services,71,NA
2345,195,1,Female,White,66,Married,50000,Middle atlantic,1,NA,NA,Bachelor,Business,58%+,468+,Private,NA,1,Retired,0,Private,Aluminum production and processing,48,NA
2349,197,2,Male,Black,13,Never married,0,South atlantic,1,NA,NA,Junior college,Business,0-39.9%,468+,Private,3000,84,Keeping house,0,Private,Home health care services,31,24
2413,233,2,Female,Black,35,Divorced,50000,E. sou. central,1,NA,NA,Bachelor,Business,0-39.9%,468+,Public,15000,1,Retired,0,Government,Elementary and secondary schools,49,36
2424,239,2,Male,White,12,Never married,250000,Pacific,1,No,No,Bachelor,Business,58%+,468+,Private,25000,35,Working fulltime,0,Government,Banking and related activities,72,47
2477,268,1,Female,White,35,Married,Big-city suburb,Foreign,0,No,No,Bachelor,Business,NA,NA,none,NA,84,Working parttime,0,Private,"Residential care facilities, without nursing",49,NA
2498,279,1,Female,White,14,Married,Big-city suburb,E. sou. central,1,NA,NA,Junior college,Business,40-57.9%,468+,Public,NA,84,Keeping house,0,Private,"Architectural, engineering, and related services",48,NA
2605,340,2,Male,White,36,Never married,Big-city suburb,E. nor. central,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,57,Working fulltime,0,Private,"Securities, commodities, funds, trusts, and other financial investments",66,37
2606,340,1,Male,Black,35,Married,NA,South atlantic,1,NA,NA,Bachelor,Business,NA,NA,none,NA,84,Keeping house,0,Government,U.s. armed forces/n.s.,66,NA
2720,403,1,Male,White,13,Married,0,Middle atlantic,1,No,No,Bachelor,Business,40-57.9%,468+,Private,25000,35,Working fulltime,0,Private,Construction,25,NA
2760,425,2,Male,White,36,Married,50000,New england,1,NA,NA,Graduate,Business,58%+,468+,Public,NA,84,Other,0,Private,"Securities, commodities, funds, trusts, and other financial investments",72,42
2827,463,1,Male,White,42,Divorced,NA,E. nor. central,1,No,No,Junior college,Business,40-57.9%,468+,Public,25000,42,Working fulltime,0,Government,Postal service,40,NA
2838,468,2,Male,White,22,Married,0,Middle atlantic,1,No,No,Graduate,Business,40-57.9%,468+,Private,25000,35,Working fulltime,0,Government,Executive offices and legislative bodies,88,35
2864,483,1,Male,White,28,Divorced,250000,E. nor. central,1,NA,NA,Junior college,Business,NA,468+,Public,3000,1,Retired,0,Private,"Auto parts, accessories, and tire stores",66,NA
2908,507,1,Male,White,27,Married,0,W. nor. central,1,No,No,Bachelor,Business,40-57.9%,468+,Private,NA,40,Working fulltime,0,Private,Banking and related activities,75,NA
2912,509,1,Male,White,11,Never married,NA,South atlantic,1,Yes,No,Bachelor,Business,NA,468+,Public,25000,43,Working fulltime,0,Private,Animal slaughtering and processing,66,NA
2944,527,2,Male,White,45,Married,50000,Foreign,0,NA,NA,Bachelor,Business,NA,NA,none,25000,35,Working fulltime,0,Private,Miscellaneous fabricated metal products manufacturing,59,0
3002,560,2,Female,White,28,Married,0,South atlantic,1,No,No,Graduate,Business,0-39.9%,468+,Private,25000,31,Working fulltime,0,Government,Elementary and secondary schools,83,31
3088,607,2,Male,White,23,Separated,0,South atlantic,1,No,No,Graduate,Business,58%+,468+,Public,25000,51,Working fulltime,0,Private,Plastics product manufacturing,48,46
3104,616,1,Male,White,38,Married,0,W. sou. central,1,No,No,Bachelor,Business,40-57.9%,468+,Public,25000,35,Working fulltime,0,Private,"Petroleum and petroleum products, merchant wholesalers",70,NA
3148,640,1,Male,White,54,Married,0,E. nor. central,1,NA,NA,Graduate,Business,NA,468+,Public,NA,1,Retired,0,Government,"Colleges and universities, including junior colleges",82,NA
3259,703,2,Female,Black,13,Married,Big-city suburb,South atlantic,1,NA,NA,Bachelor,Business,0-39.9%,468+,Private,25000,40,Working fulltime,0,Private,"Professional and commercial equipment and supplies, merchant wholesalers",46,51
3262,704,2,Female,White,24,Divorced,0,South atlantic,1,NA,NA,Junior college,Business,NA,NA,Public,25000,37,Working fulltime,0,Private,Nursing care facilities,46,47
3265,706,1,Male,White,30,Married,50000,Pacific,1,No,No,Bachelor,Business,40-57.9%,468+,Public,NA,40,Working fulltime,0,Government,"Museums, art galleries, historical sites, and similar institutions",66,NA
3304,727,2,Male,White,54,Married,250000,South atlantic,1,No,No,Bachelor,Business,0-39.9%,468+,Private,NA,35,Temp not working,1,Private,Car washes,66,21
3411,789,2,Male,White,47,Married,50000,E. sou. central,1,No,No,Bachelor,Business,0-39.9%,468+,Public,25000,35,Working fulltime,1,Private,Advertising and related services,81,0
3449,810,1,Female,White,31,Married,0,W. sou. central,1,NA,NA,Bachelor,Business,40-57.9%,468+,Private,NA,84,Other,0,Private,Hospitals,71,NA
3479,827,2,Male,White,32,Married,NA,W. sou. central,1,NA,NA,Bachelor,Business,40-57.9%,468+,Private,NA,1,Retired,0,Government,U.s. army,66,32
