IDnum,GSSyear,sex,race,Age,maritalstatus,PlaceLived16,Region16,BornHere,ageism,racism,HighestDegree,DegreeField,baEarnRate,collStudEnroll,colltype,income,hrsLastWk,jobstatus,selfEmploy,GovOrPriv,IndusCode,pctColleagueWdegree
6,2012,Female,White,50,Widowed,"Country,nonfarm",Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",Not applicable,Not applicable,Other,Someone else,Private,"Architectural, engineering, and related services",97
7,2014,Male,White,63,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Refused,Not applicable,Not applicable,No answer,No answer,No answer,0
7,2012,Female,White,35,Married,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,Junior college,Not applicable,Not applicable,468+,"Public, 2-year",Not applicable,No answer,Keeping house,Someone else,Private,"Jewelry, luggage, and leather goods stores",56
8,2012,Female,Other,24,Separated,50000 to 250000,Middle atlantic,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
8,2014,Male,White,34,Married,Big-city suburb,Pacific,Yes,Not applicable,Not applicable,Graduate,Business administration,40-57.9%,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Banking and related activities,83
9,2012,Female,Black,28,Married,Don't know,Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
9,2014,Female,White,37,Never married,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Not applicable,Not applicable,Not applicable,0
10,2014,Female,Other,30,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Junior college,Human services,Not applicable,468+,"Public, 2-year",$25000 or more,55,Working fulltime,Someone else,Private,Nursing care facilities,59
10,2012,Female,White,28,Never married,Town lt 50000,Middle atlantic,Yes,Yes,No,Bachelor,Communications/speech,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,"Civic, social, advocacy organizations, and grantmaking and giving services",86
11,2014,Female,Other,43,Married,Farm,Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
11,2012,Male,White,55,Divorced,50000 to 250000,New england,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Construction,35
12,2014,Male,White,56,Never married,"Country,nonfarm",Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Private,Truck transportation,25
12,2012,Female,Black,36,Never married,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Not applicable,0-39.9%,468+,"Private not-for-profit, 4-year or above",$6000 to 6999,20,Working parttime,Don't know,Private,Private households,45
13,2012,Female,White,28,Never married,"Country,nonfarm",Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
13,2014,Male,White,69,Divorced,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Truck transportation,24
14,2012,Female,Black,59,Divorced,50000 to 250000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Government,Elementary and secondary schools,59
14,2014,Female,White,40,Married,50000 to 250000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,37,Working fulltime,Someone else,Private,Nursing care facilities,74
15,2012,Male,Other,52,Never married,Town lt 50000,Foreign,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,32,Working parttime,Someone else,Private, restaurants and other food services,27
15,2014,Female,White,25,Never married,Town lt 50000,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,Not applicable,School,Someone else,Private, restaurants and other food services,54
16,2014,Male,White,56,Married,Town lt 50000,New england,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,6,Working parttime,Self-employed,Private,Construction,34
16,2012,Female,Black,35,Never married,50000 to 250000,New england,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,53,Working fulltime,Someone else,Private,Hospitals,63
17,2012,Male,White,36,Married,"Country,nonfarm",Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,60,Working fulltime,Someone else,Private,Construction,20
17,2014,Female,Other,51,Divorced,Town lt 50000,Foreign,No,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,20,Working parttime,Someone else,Private,Nursing care facilities,41
18,2014,Male,White,46,Never married,Big-city suburb,New england,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,55,Working fulltime,Self-employed,Private,Landscaping services,43
18,2012,Female,Black,47,Divorced,50000 to 250000,Middle atlantic,Yes,No,Yes,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,"Residential care facilities, without nursing",77
19,2014,Male,White,51,Married,Town lt 50000,New england,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,50,Working fulltime,Someone else,Private,"Miscellaneous manufacturing, n.e.c.",19
19,2012,Male,Other,55,Married,Big-city suburb,Foreign,No,No,Yes,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Warehousing and storage,24
20,2012,Female,Other,18,Never married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,School,Not applicable,Not applicable,Not applicable,0
20,2014,Female,Other,39,Divorced,City gt 250000,Middle atlantic,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$6000 to 6999,38,Working fulltime,Someone else,Private,Grocery stores,27
21,2012,Female,Other,76,Separated,Town lt 50000,Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,"Unempl, laid off",Someone else,Government,Cut and sew apparel manufacturing,17
21,2014,Female,Black,30,Divorced,Town lt 50000,Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,38,Working fulltime,Someone else,Private,Banking and related activities,87
22,2014,Female,White,36,Never married,50000 to 250000,Foreign,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
22,2012,Male,Other,39,Never married,City gt 250000,Middle atlantic,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,12,Working fulltime,Someone else,Private,Vending machine operators,38
23,2014,Female,White,42,Separated,50000 to 250000,Foreign,No,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Private,"Groceries and related products, merchant wholesalers",27
23,2012,Male,White,54,Married,Big-city suburb,Middle atlantic,Yes,Yes,No,Junior college,Criminology/criminal justice,Not applicable,468+,"Public, 2-year",$25000 or more,40,Working fulltime,Someone else,Government,Postal service,69
24,2014,Male,Other,38,Never married,50000 to 250000,Middle atlantic,No,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,School,Someone else,Private,Barber shops,31
24,2012,Female,Other,45,Married,Town lt 50000,Middle atlantic,No,No,No,Junior college,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Offices of physicians,87
25,2014,Female,White,38,Never married,Town lt 50000,Foreign,No,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Self-employed,Government,"Justice, public order, and safety activities",80
25,2012,Male,White,71,Married,50000 to 250000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,"Electric and gas, and other combinations",95
26,2014,Female,Black,28,Never married,City gt 250000,Middle atlantic,Yes,Yes,No,Graduate,Not applicable,Not applicable,468+,"Private not-for-profit, 2-year or less",Not applicable,28,Working parttime,Self-employed,Private,"Independent artists, performing arts, spectator sports, and related industries",55
26,2012,Female,White,42,Married,City gt 250000,Foreign,No,No,No,Bachelor,History,Not applicable,Not applicable,Not applicable,Refused,75,Working fulltime,Someone else,Private,Insurance carriers and related activities,80
27,2014,Male,White,35,Separated,Town lt 50000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Private,"Other amusement, gambling, and recreation industries",21
27,2012,Male,White,22,Never married,Big-city suburb,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,40,Working fulltime,Someone else,Private,Real estate,58
28,2012,Male,White,50,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Not applicable,Not applicable,Not applicable,0
28,2014,Male,White,57,Married,City gt 250000,Middle atlantic,Yes,No,No,Bachelor,Law,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Self-employed,Private,Legal services,99
29,2012,Female,Black,81,Widowed,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,0-39.9%,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Government,"Colleges and universities, including junior colleges",58
29,2014,Male,White,50,Married,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,"Electric and gas, and other combinations",64
30,2012,Female,White,44,Separated,Farm,E. nor. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$8000 to 9999,20,Working parttime,Someone else,Private,Offices of physicians,59
30,2014,Male,White,54,Divorced,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,English,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Pharmaceutical and medicine manufacturing,91
31,2014,Female,White,No answer,Married,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Private,Real estate,78
31,2012,Male,White,78,Never married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Business administration,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,Administration of economic programs and space research,94
32,2014,Female,White,61,Divorced,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Individual and family services,56
32,2012,Female,White,63,Divorced,Big-city suburb,Middle atlantic,Yes,Yes,No,Junior college,Not applicable,Not applicable,468+,"Public, 2-year",$25000 or more,40,Working fulltime,Someone else,Private,"Independent artists, performing arts, spectator sports, and related industries",56
33,2014,Female,White,54,Never married,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",Refused,Not applicable,Temp not working,Someone else,Private,Pharmaceutical and medicine manufacturing,0
33,2012,Male,White,73,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Graduate,Engineering,58%+,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Private,Wired telecommunications carriers,94
34,2014,Male,White,47,Married,City gt 250000,Foreign,Yes,Not applicable,Not applicable,Bachelor,Computer science,0-39.9%,468+,"Public, 4-year or above",Refused,70,Working fulltime,Self-employed,Private,Taxi and limousine service,40
34,2012,Male,Other,40,Married,Town lt 50000,Foreign,No,No,No,Bachelor,Electronics,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Wired telecommunications carriers,96
35,2014,Male,Other,53,Married,City gt 250000,Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,40,Working fulltime,Someone else,Private,Traveler accommodation,22
35,2012,Female,White,42,Married,50000 to 250000,W. sou. central,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,"Securities, commodities, funds, trusts, and other financial investments",69
36,2014,Female,Black,37,Married,50000 to 250000,Middle atlantic,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$20000 - 24999,40,Working fulltime,Someone else,Private,Hospitals,41
36,2012,Male,White,62,Divorced,Town lt 50000,Middle atlantic,Yes,No,No,Graduate,Education,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,47,Working fulltime,Someone else,Government,"Colleges and universities, including junior colleges",91
37,2012,Male,White,52,Divorced,50000 to 250000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,Executive offices and legislative bodies,25
37,2014,Female,Other,38,Never married,Farm,E. sou. central,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,$8000 to 9999,40,Working fulltime,Someone else,Private, restaurants and other food services,27
38,2014,Male,White,31,Divorced,Town lt 50000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,39,Working fulltime,Someone else,Private,Construction,37
38,2012,Female,Black,49,Never married,50000 to 250000,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Nursing care facilities,41
39,2014,Female,White,69,Widowed,Big-city suburb,Middle atlantic,Yes,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,15,Working parttime,Someone else,Private,Department stores and discount stores,56
39,2012,Female,Other,27,Never married,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,30,Working parttime,Someone else,Private,Offices of physicians,56
40,2014,Male,White,35,Married,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Private,Not specified retail trade,55
40,2012,Female,Black,30,Never married,Big-city suburb,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Medical equipment and supplies manufacturing,59
41,2012,Female,Other,29,Married,City gt 250000,Foreign,No,No,Yes,Graduate,Biology,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Motion pictures and video industries,77
41,2014,Female,White,61,Married,City gt 250000,E. nor. central,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",Refused,35,Working parttime,Someone else,Private,Hospitals,99
42,2012,Female,White,69,Divorced,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,No answer,54
42,2014,Male,White,80,Married,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Junior college,Not applicable,40-57.9%,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Government,"Justice, public order, and safety activities",77
43,2014,Male,White,59,Never married,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Other,Someone else,Government,Elementary and secondary schools,22
43,2012,Female,White,51,Divorced,50000 to 250000,Middle atlantic,Yes,No,No,Graduate,Not applicable,40-57.9%,468+,"Private not-for-profit, 4-year or above",$25000 or more,55,Working fulltime,Someone else,Private,Other telecommunications services,77
44,2014,Male,White,26,Never married,Big-city suburb,Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,45,Working fulltime,Someone else,Private,Automobile dealers,30
44,2012,Female,White,57,Divorced,City gt 250000,Middle atlantic,Yes,No,No,Bachelor,Computer science,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,60,Working fulltime,Someone else,Private,Insurance carriers and related activities,77
45,2014,Female,White,50,Separated,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,60,Working fulltime,Someone else,Private,Hospitals,81
45,2012,Male,White,44,Married,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,Finance,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,55,Working fulltime,Someone else,Private,"Securities, commodities, funds, trusts, and other financial investments",87
46,2014,Female,Black,43,Never married,"Country,nonfarm",Middle atlantic,Yes,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,Sewage treatment facilities,65
46,2012,Female,White,73,Married,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Dk/uncoded,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Private,Real estate,78
47,2014,Male,White,30,Never married,Big-city suburb,Middle atlantic,Yes,No,No,Junior college,Not applicable,Not applicable,468+,"Public, 2-year",$25000 or more,45,Working fulltime,Someone else,Private,Other health care services,87
47,2012,Female,White,73,Married,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Special education,40-57.9%,468+,"Public, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Government,Elementary and secondary schools,99
48,2014,Male,White,59,Married,Farm,Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Construction,25
48,2012,Male,White,68,Married,Town lt 50000,Middle atlantic,Yes,No,No,Graduate,Dk/uncoded,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Self-employed,Private,Legal services,99
49,2012,Female,White,84,Divorced,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",$20000 - 24999,0,Retired,Self-employed,Private,"Other professional, scientific, and technical services",81
49,2014,Female,White,32,Married,Big-city suburb,Foreign,No,No,No,Graduate,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Banking and related activities,91
50,2012,Male,White,63,Divorced,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,Graduate,Business administration,40-57.9%,468+,"Private not-for-profit, 4-year or above",Refused,0,Retired,Someone else,Private,Insurance carriers and related activities,0
50,2014,Male,Other,32,Married,Town lt 50000,Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Construction,20
51,2012,Male,White,57,Divorced,Big-city suburb,Middle atlantic,Yes,No,No,Bachelor,Education,40-57.9%,468+,"Public, 4-year or above",$25000 or more,50,Working fulltime,Someone else,Government,"Museums, art galleries, historical sites, and similar institutions",21
51,2014,Female,White,52,Married,Town lt 50000,Middle atlantic,No,No,No,Graduate,Medicine,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Private,Offices of physicians,58
52,2014,Male,White,42,Married,Town lt 50000,Middle atlantic,Yes,No,No,Bachelor,Not applicable,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,"Professional and commercial equipment and supplies, merchant wholesalers",86
52,2012,Female,Other,42,Married,City gt 250000,Foreign,No,No,No,Bachelor,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,36,Working fulltime,Someone else,Private,Hospitals,98
53,2014,Male,Other,29,Married,Big-city suburb,Middle atlantic,No,No,No,Junior college,Business administration,Not applicable,Not applicable,Not applicable,$25000 or more,60,Working fulltime,Someone else,Private,Employment services,59
53,2012,Female,White,45,Married,Town lt 50000,Foreign,No,Not applicable,Not applicable,Graduate,Not applicable,40-57.9%,468+,"Private not-for-profit, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Private,Hospitals,100
54,2014,Female,White,81,Widowed,Town lt 50000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Keeping house,Someone else,Private,"Pottery, ceramics, and plumbing fixture manufacturing",58
54,2012,Male,Other,38,Never married,Big-city suburb,Middle atlantic,Yes,No,No,Junior college,Advertising,Not applicable,468+,"Public, 4-year or above",Not applicable,45,Working fulltime,Someone else,Private,Real estate,78
55,2012,Male,White,46,Married,Big-city suburb,Middle atlantic,Yes,No,No,Graduate,Engineering,58%+,468+,"Private not-for-profit, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Private,Hospitals,86
55,2014,Male,Other,51,Married,City gt 250000,Foreign,No,Not applicable,Not applicable,Graduate,Not applicable,40-57.9%,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Self-employed,Private,"Management, scientific, and technical consulting services",91
56,2012,Female,Other,51,Married,50000 to 250000,Foreign,No,Not applicable,Not applicable,Graduate,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",Refused,Not applicable,School,Someone else,Private,Hospitals,0
56,2014,Female,Black,24,Never married,50000 to 250000,W. nor. central,Yes,Yes,No,Bachelor,Not applicable,58%+,468+,"Private not-for-profit, 4-year or above",$1000 to 2999,16,Working parttime,Someone else,Private,Legal services,82
57,2014,Female,White,63,Widowed,Big-city suburb,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Government,"Colleges and universities, including junior colleges",62
57,2012,Female,Black,41,Married,City gt 250000,Foreign,No,No,No,High school,Not applicable,Not applicable,Not applicable,Not applicable,$15000 - 19999,36,Working fulltime,Someone else,Private,Pharmacies and drug stores,66
58,2012,Female,Black,75,Divorced,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,High school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Non-depository credit and related activities,31
58,2014,Female,White,44,Never married,Big-city suburb,Foreign,No,No,No,Graduate,Not applicable,Not applicable,Not applicable,Not applicable,$25000 or more,40,Working fulltime,Someone else,Government,Elementary and secondary schools,77
59,2012,Female,Other,81,Never married,Big-city suburb,Middle atlantic,No,Not applicable,Not applicable,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,0,0,Retired,Someone else,Private,Home health care services,41
59,2014,Female,White,56,Never married,50000 to 250000,Middle atlantic,No,No,No,Bachelor,Medicine,58%+,468+,"Public, 4-year or above",$25000 or more,30,Working fulltime,Someone else,Private,Other health care services,73
60,2012,Female,White,41,Married,"Country,nonfarm",Foreign,No,No answer,No answer,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No answer,Working parttime,Not applicable,No answer,Not applicable,0
60,2014,Female,Other,43,Married,City gt 250000,Middle atlantic,No,Not applicable,Not applicable,Bachelor,Not applicable,40-57.9%,468+,"Public, 4-year or above",Not applicable,Not applicable,Keeping house,Someone else,Private,Insurance carriers and related activities,94
61,2014,Male,White,51,Never married,Town lt 50000,New england,Yes,No,No,Graduate,Communications/speech,58%+,468+,"Public, 4-year or above",$20000 - 24999,14,Working parttime,Someone else,Private,Outpatient care centers,70
61,2012,Female,Black,67,Widowed,City gt 250000,Middle atlantic,Yes,Not applicable,Not applicable,Graduate,Not applicable,Not applicable,468+,"Public, 4-year or above",0,0,Retired,Someone else,Government,Hospitals,98
62,2012,Male,Black,71,Widowed,Farm,South atlantic,Yes,Not applicable,Not applicable,Graduate,Not applicable,0-39.9%,468+,"Private not-for-profit, 4-year or above",0,0,Retired,Someone else,Government,Real estate,22
62,2014,Female,Other,32,Never married,City gt 250000,Foreign,Yes,Not applicable,Not applicable,Bachelor,Psychology,58%+,468+,"Private not-for-profit, 4-year or above",$20000 - 24999,36,Working fulltime,Someone else,Private,Non-depository credit and related activities,78
63,2012,Male,Other,35,Married,Town lt 50000,Foreign,No,No,No,Lt high school,Not applicable,Not applicable,Not applicable,Not applicable,Don't know,60,Working fulltime,Someone else,Private,Grocery stores,34
63,2014,Female,Other,47,Married,City gt 250000,Foreign,No,Not applicable,Not applicable,Graduate,Not applicable,40-57.9%,468+,"Public, 4-year or above",$25000 or more,Not applicable,Other,Someone else,Government,Elementary and secondary schools,99
64,2014,Female,Other,47,Never married,50000 to 250000,Foreign,No,No,No,Graduate,Health,58%+,468+,"Public, 4-year or above",$25000 or more,40,Working fulltime,Someone else,Government,Hospitals,82
